abastecimientoFrecuenteEcopais;gastoCombustibleElectricidadEcopais;abastecimientoFrecuenteElectricidad;gastoCombustibleElectricidadElectricidad;abastecimientoFrecuenteGas;gastoFrecuenteGas;abastecimientoFrecuenteSuper;gastoCombustibleElectricidadSuper;abastecimientoFrecuenteExtra;gastoCombustibleElectricidadExtra;abastecimientoFrecuenteDiesel;gastoCombustibleElectricidadDiesel;id_vivienda;id_hogar;ciudad
1;100;2;0;2;0;2;0;2;0;2;0;101500114020370701;1015001140203707101;10150
2;0;2;0;2;0;2;0;1;60;2;0;101500114030280101;1015001140302801101;10150
2;0;2;0;2;0;2;0;1;90;2;0;101500114030280201;1015001140302802101;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500114030280401;1015001140302804101;10150
1;70;2;0;2;0;2;0;2;0;2;0;101500114030280501;1015001140302805101;10150
2;0;2;0;2;0;2;0;1;90;2;0;101500114030280601;1015001140302806101;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500114030280701;1015001140302807101;10150
1;80;2;0;2;0;2;0;2;0;2;0;101500114030280901;1015001140302809101;10150
1;20;2;0;2;0;2;0;1;50;2;0;101500115010370101;1015001150103701101;10150
1;40;2;0;2;0;2;0;2;0;2;0;101500115010370401;1015001150103704101;10150
1;80;2;0;2;0;2;0;2;0;2;0;101500115010370501;1015001150103705101;10150
1;30;2;0;2;0;2;0;2;0;2;0;101500115010370601;1015001150103706101;10150
1;30;2;0;2;0;2;0;2;0;2;0;101500115010370701;1015001150103707101;10150
1;40;2;0;2;0;2;0;2;0;2;0;101500115010370801;1015001150103708101;10150
1;200;2;0;2;0;2;0;2;0;2;0;101500115010370901;1015001150103709101;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500119020350103;1015001190203501103;10150
1;20;2;0;2;0;2;0;2;0;1;15;101500119020350203;1015001190203502103;10150
1;25;2;0;2;0;2;0;2;0;2;0;101500119020350303;1015001190203503103;10150
1;30;2;0;2;0;2;0;2;0;2;0;101500119020350403;1015001190203504103;10150
1;20;1;5;2;0;2;0;2;0;2;0;101500119020350503;1015001190203505103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500119020350603;1015001190203506103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500119020350703;1015001190203507103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500126010420103;1015001260104201103;10150
1;60;2;0;2;0;2;0;2;0;2;0;101500126010420203;1015001260104202103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500126010420303;1015001260104203103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500126010420403;1015001260104204103;10150
1;70;2;0;2;0;2;0;2;0;2;0;101500126010420503;1015001260104205103;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500126010420603;1015001260104206103;10150
1;90;2;0;2;0;2;0;2;0;2;0;101500126010420703;1015001260104207103;10150
1;60;2;0;2;0;2;0;2;0;2;0;101500127020320102;1015001270203201102;10150
1;80;2;0;2;0;2;0;2;0;2;0;101500127020320202;1015001270203202102;10150
1;60;2;0;2;0;2;0;2;0;2;0;101500127020320302;1015001270203203102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500127020320402;1015001270203204102;10150
1;50;2;0;2;0;2;0;2;0;2;0;101500127020320502;1015001270203205102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500127020320602;1015001270203206102;10150
1;60;2;0;2;0;2;0;2;0;2;0;101500127020320702;1015001270203207102;10150
1;80;2;0;2;0;2;0;2;0;2;0;101500131030320102;1015001310303201102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500131030320202;1015001310303202102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500131030320302;1015001310303203102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500131030320402;1015001310303204102;10150
1;50;2;0;2;0;2;0;2;0;2;0;101500131030320502;1015001310303205102;10150
1;15;2;0;2;0;2;0;2;0;2;0;101500131030320602;1015001310303206102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500131030320702;1015001310303207102;10150
1;60;2;0;2;0;2;0;2;0;2;0;101500133020320202;1015001330203202102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500133020320402;1015001330203204102;10150
1;100;2;0;2;0;2;0;2;0;2;0;101500133020320502;1015001330203205102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500133020320602;1015001330203206102;10150
1;30;2;0;2;0;2;0;2;0;2;0;101500133020320702;1015001330203207102;10150
1;80;2;0;2;0;2;0;2;0;2;0;101500133020320802;1015001330203208102;10150
1;20;2;0;2;0;2;0;2;0;2;0;101500133020320902;1015001330203209102;10150
0;0;0;0;0;0;0;0;0;0;0;0;101500137010420203;1015001370104202103;10150
2;0;2;0;2;0;2;0;1;25;2;0;101500137010420303;1015001370104203103;10150
